ts_scrape,regione,provincia,ospedale,codice,in_attesa,in_trattamento
2026-09-10T12:08:58+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,giallo,0,13
2026-09-10T12:08:58+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,verde,9,47
2026-09-10T12:08:58+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,azzurro,2,6
2026-09-10T12:08:58+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,bianco,0,1
2026-09-10T12:08:58+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,totali,11,70
2026-09-10T12:10:59+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,rosso,0,3
2026-09-10T12:10:59+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,giallo,1,13
2026-09-10T12:10:59+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,verde,10,46
2026-09-10T12:10:59+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,azzurro,3,6
2026-09-10T12:10:59+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,bianco,0,1
2026-09-10T12:10:59+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,totali,14,69
2026-09-10T12:11:58+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,rosso,0,3
2026-09-10T12:11:58+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,giallo,1,13
2026-09-10T12:11:58+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,verde,10,46
2026-09-10T12:11:58+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,azzurro,3,6
2026-09-10T12:11:58+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,bianco,0,1
2026-09-10T12:11:58+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,totali,14,69
2026-09-10T12:12:13+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,rosso,0,3
2026-09-10T12:12:13+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,giallo,1,13
2026-09-10T12:12:13+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,verde,10,46
2026-09-10T12:12:13+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,azzurro,3,6
2026-09-10T12:12:13+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,bianco,0,1
2026-09-10T12:12:13+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,totali,14,69
2026-09-10T12:27:23+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,rosso,0,3
2026-09-10T12:27:23+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,giallo,0,14
2026-09-10T12:27:23+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,verde,11,46
2026-09-10T12:27:23+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,azzurro,2,7
2026-09-10T12:27:23+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,bianco,0,1
2026-09-10T12:27:23+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,totali,13,71
2026-09-10T12:42:34+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,rosso,0,3
2026-09-10T12:42:34+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,giallo,1,14
2026-09-10T12:42:34+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,verde,14,46
